Scientific_name,Family,SIXLET,Symbol,Wetland,Pathway,SLA ,SLA2,SLA3,HT_matur,HT_matur2,Seed_weight,Seed_weight2,SSG,d13C,d15N,C,N,C.N,RGR,Salin_meas,Salin_meas2,rt_dpt_max,Anae_tol,Drgt_Tol,Fire_tol,Mois_use,Salin_tol,Shade_tol,Growth_R,Lifespan,Sex_repr,Veg_repr,Spread_rt,Resprout,Actual_bloom,Seed_period
Echinocactus polycephalus,Cactaceae,ECHPOL,ECPO2,UPL,,,,,0.5,,7.273,,,,,,,,,,,,,,1,,,,1,3,1,2,1,,Mar  -  May,
Elaeagnus angustifolia,Elaeagnaceae,ELAANG,ELAN,FAC,,124,,,8.5,,126.8,,,,,,,,,,,12,3,3,3,4,4,2,3,4,1,2,1,1,May  -  Jun,Sep - Nov
Elymus canadensis,Poaceae,ELYCAN,ELCA4,FAC,C3,188.32,273,,1.4,1.15,4.5,4.5,0.525,,,,,,0.21,3.8,,0.76,2,3,2,3,2,3,3,,1,2,1,2,Jun - Aug,"Spring, Spring"
Elymus elymoides,Poaceae,ELYELY,ELEL5,FACU,C3,87.56,140,,0.425,0.28,2.978,2.978,0.508,,,,,,,4,,1,1,4,3,2,2,1,2,,1,2,1,2,May  -  Aug,
Eleocharis palustris,Cyperaceae,ELEPAL,ELPA3,OBL,Intermediate?,86.35,,,0.4,0.39624,0.75,0.75,0.079,,,,,,,11,,0.4,4,1,3,4,4,1,2,,1,1,3,2,,
Eleocharis rostellata,Cyperaceae,ELEROS,ELRO2,OBL,,,,,0.6096,,0.8116,,,,,,,,,,,0.25,4,1,4,4,3,1,2,,1,1,3,2,May  -  Aug,
Elymus trachycaulus,Poaceae,ELYTRA,ELTR7,FACU,,292,120,,0.65,,3.6,,,,,,,,0.21,16,,0.3,2,3,4,2,4,3,3,2,1,1,,2,Jun  -  Aug,Sep - Nov
Enneapogon desvauxii,Poaceae,ENNDES,ENDE,UPL,C4,383.87,,,0.3,0.18,0.4606,0.461,0.596,,,,,,,,,,,,3,,,,,,1,,,,Aug  -  Sept,
Encelia farinosa,Asteraceae,ENCFAR,ENFA,UPL,C3,112.7,74.62686567,,0.65,0.65,1.4,1.4,0.473,-28.4303,4.462,40.9029,2.6887,15.2348,,,,0.55,1,4,1,2,1,1,3,2,1,2,1,1,Feb - Jun,"Summer, Summer"
Ephedra nevadensis,Ephedraceae,EPHNEV,EPNE,UPL,,,,,0.65,,26.402,,,,,,,,,,,2,1,4,1,2,4,1,2,4,1,1,2,2,Mar  - May,"Summer, Fall"
